# Wavenumber, Intensity, Intensity Filtered at 125.00 cm width 35.00 order 2
1.353806000000000040e+03,1.349930832999999950e+02,1.373531620982832635e+02
1.354769999999999982e+03,1.345820832999999936e+02,1.378649637360485087e+02
1.355733999999999924e+03,1.341469582999999943e+02,1.383187993750095757e+02
1.356699000000000069e+03,1.336992083000000093e+02,1.387247217264911399e+02
1.357663000000000011e+03,1.332669999999999959e+02,1.391061186254203506e+02
1.358626999999999953e+03,1.328783333000000084e+02,1.394880278271978113e+02
1.359592000000000098e+03,1.325431667000000004e+02,1.398792922060488877e+02
1.360556000000000040e+03,1.322462083000000064e+02,1.402642316257175708e+02
1.361519999999999982e+03,1.319539167000000077e+02,1.406128988603783796e+02
1.362483999999999924e+03,1.316336666999999920e+02,1.408962060061640216e+02
1.363448000000000093e+03,1.312745416999999861e+02,1.411048559683531494e+02
1.364413000000000011e+03,1.308959166999999866e+02,1.412567494576456113e+02
1.365376999999999953e+03,1.305362082999999984e+02,1.413859595490130516e+02
1.366340999999999894e+03,1.302297916999999927e+02,1.415240746805190213e+02
1.367306000000000040e+03,1.299870416999999918e+02,1.416814112510401742e+02
1.368269999999999982e+03,1.297897499999999980e+02,1.418414211944684666e+02
1.369233999999999924e+03,1.296011666999999932e+02,1.419717556345366347e+02
1.370198000000000093e+03,1.293857500000000016e+02,1.420411033157078577e+02
1.371162000000000035e+03,1.291285833000000025e+02,1.420371914228894923e+02
1.372126999999999953e+03,1.288450832999999989e+02,1.419752385824527892e+02
1.373090999999999894e+03,1.285745000000000005e+02,1.418915312717020925e+02
1.374055000000000064e+03,1.283581250000000011e+02,1.418241059170748599e+02
1.375019999999999982e+03,1.282150833000000034e+02,1.417913360886327041e+02
1.375983999999999924e+03,1.281317917000000079e+02,1.417820709044485739e+02
1.376948000000000093e+03,1.280700416999999902e+02,1.417633337326424225e+02
1.377912000000000035e+03,1.279890000000000043e+02,1.416995996697185944e+02
1.378875999999999976e+03,1.278672916999999956e+02,1.415725625902044555e+02
1.379840999999999894e+03,1.277123332999999974e+02,1.413893972475262046e+02
1.380805000000000064e+03,1.275524166999999949e+02,1.411765698857187772e+02
1.381769000000000005e+03,1.274176250000000010e+02,1.409619069624421570e+02
1.382733999999999924e+03,1.273208750000000009e+02,1.407580592851556958e+02
1.383698000000000093e+03,1.272498750000000030e+02,1.405556471482909728e+02
1.384662000000000035e+03,1.271737499999999983e+02,1.403285294544284341e+02
1.385625999999999976e+03,1.270617083000000065e+02,1.400513599604764750e+02
1.386589999999999918e+03,1.269043333000000047e+02,1.397182228953362539e+02
1.387555000000000064e+03,1.267242083000000008e+02,1.393509622238306918e+02
1.388519000000000005e+03,1.265659583000000055e+02,1.389914789425320976e+02
1.389482999999999947e+03,1.264708332999999953e+02,1.386773843576622482e+02
1.390448000000000093e+03,1.264519999999999982e+02,1.384216518923295496e+02
1.391412000000000035e+03,1.264874999999999972e+02,1.382060561890832275e+02
1.392375999999999976e+03,1.265306250000000006e+02,1.379890967704972411e+02
1.393339999999999918e+03,1.265313333000000000e+02,1.377266709296830243e+02
1.394304000000000087e+03,1.264602500000000020e+02,1.373938627011398808e+02
1.395269000000000005e+03,1.263247917000000058e+02,1.369986031356795877e+02
1.396232999999999947e+03,1.261671249999999986e+02,1.365803677023403964e+02
1.397196999999999889e+03,1.260397916999999950e+02,1.361861534959532207e+02
1.398161000000000058e+03,1.259732917000000043e+02,1.358442548864811386e+02
1.399125999999999976e+03,1.259590000000000032e+02,1.355483599851887107e+02
1.400089999999999918e+03,1.259571667000000019e+02,1.352652871285980325e+02
1.401054000000000087e+03,1.259224583000000024e+02,1.349553630799942141e+02
1.402018000000000029e+03,1.258289999999999935e+02,1.345963487566896504e+02
1.402982999999999947e+03,1.256836667000000034e+02,1.341945385738973187e+02
1.403946999999999889e+03,1.255204166999999984e+02,1.337814779646670615e+02
1.404911000000000058e+03,1.253799166999999954e+02,1.333931757134566283e+02
1.405875000000000000e+03,1.252843333000000001e+02,1.330498925127905068e+02
1.406839999999999918e+03,1.252240833000000038e+02,1.327435946879375592e+02
1.407804000000000087e+03,1.251638750000000044e+02,1.324444781980438961e+02
1.408768000000000029e+03,1.250643749999999983e+02,1.321183442627405782e+02
1.409731999999999971e+03,1.249062916999999970e+02,1.317489644508449658e+02
1.410696999999999889e+03,1.247026249999999976e+02,1.313480412734812717e+02
1.411661000000000058e+03,1.244917499999999961e+02,1.309505622302385746e+02
1.412625000000000000e+03,1.243152500000000060e+02,1.305930539380006792e+02
1.413588999999999942e+03,1.241935416999999973e+02,1.302937155108112393e+02
1.414554000000000087e+03,1.241135833000000019e+02,1.300403108135602679e+02
1.415518000000000029e+03,1.240331249999999983e+02,1.297950773595808585e+02
1.416481999999999971e+03,1.238999582999999944e+02,1.295113811048961736e+02
1.417446999999999889e+03,1.236793749999999932e+02,1.291591004834849912e+02
1.418411000000000058e+03,1.233776667000000060e+02,1.287456754130565457e+02
1.419375000000000000e+03,1.230443750000000023e+02,1.283143057593688354e+02
1.420338999999999942e+03,1.227436667000000057e+02,1.279203835261226914e+02
1.421303000000000111e+03,1.225125416999999999e+02,1.275963643312099265e+02
1.422268000000000029e+03,1.223399167000000034e+02,1.273333968366206506e+02
1.423231999999999971e+03,1.221797083000000015e+02,1.270919045445384086e+02
1.424195999999999913e+03,1.219816667000000052e+02,1.268271006886345731e+02
1.425160000000000082e+03,1.217198750000000018e+02,1.265154035273669280e+02
1.426125000000000000e+03,1.214049167000000011e+02,1.261654473002895145e+02
1.427088999999999942e+03,1.210779167000000029e+02,1.258135407168437609e+02
1.428053000000000111e+03,1.207872916999999973e+02,1.255010885978127817e+02
1.429017000000000053e+03,1.205597082999999969e+02,1.252506088691882269e+02
1.429981999999999971e+03,1.203827500000000015e+02,1.250502069785336943e+02
1.430945999999999913e+03,1.202110416999999956e+02,1.248592978400068745e+02
1.431910000000000082e+03,1.199905832999999973e+02,1.246292960444964706e+02
1.432875000000000000e+03,1.196874167000000000e+02,1.243294138278804297e+02
1.433838999999999942e+03,1.193065832999999998e+02,1.239644464276351954e+02
1.434803000000000111e+03,1.188918333000000018e+02,1.235724631118629020e+02
1.435767000000000053e+03,1.185039167000000049e+02,1.232059927898449700e+02
1.436730999999999995e+03,1.181857083000000017e+02,1.229012842498860323e+02
1.437695999999999913e+03,1.179350833000000023e+02,1.226559966729670350e+02
1.438660000000000082e+03,1.177087499999999949e+02,1.224330860048469987e+02
1.439624000000000024e+03,1.174536666999999994e+02,1.221861552215622737e+02
1.440588999999999942e+03,1.171418333000000018e+02,1.218891492731179511e+02
1.441553000000000111e+03,1.167839582999999948e+02,1.215500933086757129e+02
1.442517000000000053e+03,1.164188749999999999e+02,1.212015254304405119e+02
1.443480999999999995e+03,1.160900000000000034e+02,1.208808981824450086e+02
1.444444999999999936e+03,1.158218332999999944e+02,1.206088686510890255e+02
1.445410000000000082e+03,1.156063333000000029e+02,1.203769161415339539e+02
1.446374000000000024e+03,1.154057499999999976e+02,1.201512206308285045e+02
1.447337999999999965e+03,1.151731249999999989e+02,1.198903954119794690e+02
1.448301999999999907e+03,1.148821250000000020e+02,1.195713170850187339e+02
1.449267000000000053e+03,1.145446249999999964e+02,1.192028181630351611e+02
1.450230999999999995e+03,1.142022500000000065e+02,1.188202523592902224e+02
1.451194999999999936e+03,1.138992499999999950e+02,1.184607622531892162e+02
1.452159000000000106e+03,1.136559582999999947e+02,1.181415571832874178e+02
1.453124000000000024e+03,1.134579166999999984e+02,1.178484442667378005e+02
1.454087999999999965e+03,1.132618750000000034e+02,1.175423177163547308e+02
1.455051999999999907e+03,1.130157083000000000e+02,1.171776551324267928e+02
1.456016000000000076e+03,1.126920417000000043e+02,1.167335800609912155e+02
1.456980999999999995e+03,1.123193749999999937e+02,1.162362937969682974e+02
1.457944999999999936e+03,1.119767499999999956e+02,1.157528033571572905e+02
1.458909000000000106e+03,1.117394167000000067e+02,1.153454519699411946e+02
1.459873000000000047e+03,1.116267500000000013e+02,1.150324574988430157e+02
1.460837999999999965e+03,1.115993332999999978e+02,1.147814310808620917e+02
1.461801999999999907e+03,1.115933332999999976e+02,1.145363991099923169e+02
1.462766000000000076e+03,1.115550833000000068e+02,1.142480000453502953e+02
1.463730000000000018e+03,1.114625417000000027e+02,1.138953890802251436e+02
